	OBO_ID	OBO_LABEL	ENRICHMENT_P_VALUE	TOTAL_POPULATION	TOTAL_SUCCESSES	TOTAL_WORD_IGNORANCE	TOTAL_SUCCESSES_IN_WORD_IGNORANCE	BONFERRONI_CRRECTION_P_VALUE	BONFERRONI_CRRECTION_P_VALUE_REJECT	BH_CRRECTION_P_VALUE	BH_CRRECTION_P_VALUE_REJECT
755	CHEBI_35018	Trenbolone	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
5295	GO_2000425	regulation of apoptotic cell clearance	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
5296	GO_0006357	regulation of transcription by RNA polymerase II	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
4732	PR_000036181	traf3:ticam:activated TLR3/TLR4 complex (human)	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
5297	GO_0055063	sulfate ion homeostasis	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
4727	CHEBI_38637	tyrosine kinase inhibitor	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
4882	GO_0031672	A band	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
4725	GO_1903998	regulation of eating behavior	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
709	GO_0010168	ER body	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
11435	GO_0036371	protein localization to T-tubule	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7920	GO_0042447	hormone catabolic process	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
11645	GO_0016006	Nebenkern	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
5298	CHEBI_82620	L-tyrosine-O-phosphate(2-) residue	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7866	CHEBI_31784	loteprednol etabonate	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9873	GO_0035178	turning behavior	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
5288	GO_0030399	autophagosome membrane disassembly	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
712	GO_0007223	Wnt signaling pathway, calcium modulating pathway	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
4738	CL_0000353	blastoderm cell	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
4879	GO_0007560	imaginal disc morphogenesis	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
5269	CL_0000811	CD8-positive, alpha-beta thymocyte	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
11434	CHEBI_52221	isothiocyanate	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9880	CHEBI_33719	alpha-amino-acid cation	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
10018	GO_0045112	integrin biosynthetic process	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
5021	CHEBI_33780	beryllium molecular entity	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
5277	UBERON_0000002	uterine cervix	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7863	GO_0050888	determination of stimulus location	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
11400	UBERON_0001284	renal column	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
5279	GO_0051703	biological process involved in intraspecies interaction between organisms	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7963	UBERON_0013279	diaphysis of fibula	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
5281	GO_0009693	ethylene biosynthetic process	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
10064	CHEBI_63580	ribavirin	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
10065	CHEBI_39231	emamectin B1a	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
5023	PR_000007664	tyrosine-protein kinase FRK	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
4941	GO_0008037	cell recognition	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
885	GO_0090402	oncogene-induced cell senescence	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
654	GO_0001916	positive regulation of T cell mediated cytotoxicity	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6772	UBERON_2001692	median premaxilla	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6773	GO_0043058	regulation of backward locomotion	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7557	UBERON_0004549	right eye	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6775	UBERON_0005417	forelimb bud	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9349	GO_0000025	maltose catabolic process	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6780	CL_0002548	fibroblast of cardiac tissue	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
11555	CHEBI_5384	glipizide	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6784	CHEBI_73196	EC 4.4.1.11 (methionine gamma-lyase) inhibitor	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6785	GO_1990790	response to glial cell derived neurotrophic factor	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7555	GO_0006337	nucleosome disassembly	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6787	CHEBI_33320	actinoid atom	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9344	CHEBI_35192	sesterterpene	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6793	CHEBI_46316	2-PROPYLPENTANAMIDE	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
380	CHEBI_17078	L-gamma-glutamyl-L-cysteinyl-beta-alanine	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6794	GO_0006180	deoxyguanosine salvage	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6796	PR_000010067	melanoma-associated antigen B2	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6797	GO_0075342	disruption by symbiont of host cell PML body	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6798	GO_0098630	aggregation of unicellular organisms	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6800	CHEBI_34800	isophorone	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6803	GO_0042778	tRNA end turnover	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6806	UBERON_0001819	palpebral fissure	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6809	GO_0019888	protein phosphatase regulator activity	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
11559	PR_000007858	endothelial transcription factor GATA-2	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6813	PR_000001899	neural cell adhesion molecule-like protein	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6814	UBERON_0013559	Brodmann (1909) area 28	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9334	GO_0009659	leucoplast organization	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6821	GO_0033551	monopolin complex	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6822	GO_0045478	fusome organization	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9341	CHEBI_51080	nitrate ester	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6824	GO_0030242	autophagy of peroxisome	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6768	PR_000004264	AT-rich interactive domain-containing protein 2	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6762	CHEBI_33365	platinum group metal atom	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
11548	GO_0036010	protein localization to endosome	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6717	UBERON_0003210	blood-cerebrospinal fluid barrier	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6719	UBERON_0001409	semispinalis capitis	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6720	CHEBI_32027	polyoxyl 40 stearate	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9369	GO_0045047	protein targeting to ER	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9365	PR_000008938	intraflagellar transport protein 80	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6729	GO_0002638	negative regulation of immunoglobulin production	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
221	UBERON_0001867	cartilage of external ear	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9363	CHEBI_32098	riboflavin sodium phosphate	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9360	GO_0045103	intermediate filament-based process	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6734	PR_000011489	tudor-interacting repair regulator protein	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9359	CHEBI_53724	poly(chloroprene) macromolecule	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7565	CHEBI_82169	Flubenzimine	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6764	UBERON_0003294	gland of foregut	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7564	CHEBI_38689	fonofos	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6740	CHEBI_87029	valinamide fungicide	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
391	CHEBI_75253	phenylarsine oxide	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6743	PR_000000129	thrombospondin-1	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6744	UBERON_0002376	cranial muscle	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
388	GO_2000748	positive regulation of defecation rhythm	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6752	CHEBI_82577	Fusarenone X	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9094	UBERON_0007119	neck of femur	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7562	CHEBI_84330	N(3)-fumaroyl-(S)-2,3-diaminopropanoate	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7561	UBERON_0022287	tear film	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6757	UBERON_0009834	dorsolateral prefrontal cortex	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6758	GO_0061624	fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
11554	CHEBI_50960	catenane	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
222	CHEBI_26623	selenates	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9357	GO_0001897	cytolysis by symbiont of host cells	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9370	PR_000004587	beta-1,3-galactosyltransferase 6	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6826	CHEBI_37838	carboacyl group	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6829	CHEBI_25468	naphthaldehydes	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7536	CHEBI_23239	chromopeptide	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
11563	GO_0010501	RNA secondary structure unwinding	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6894	CL_1000606	kidney nerve cell	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
355	GO_1901207	regulation of heart looping	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6897	GO_0031009	plastid ADPG pyrophosphorylase complex	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6903	GO_0002012	vasoconstriction of artery involved in chemoreceptor response to lowering of systemic arterial blood pressure	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9306	GO_0003148	outflow tract septum morphogenesis	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9304	CHEBI_37968	aluminium-27 atom	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
353	PR_000001417	free fatty acid receptor 4	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6909	GO_0099566	regulation of postsynaptic cytosolic calcium ion concentration	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6910	CHEBI_79725	2,2',5-Trichloro-4-hydroxybiphenyl	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9302	PR_000005907	alpha-crystallin A chain	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
11564	GO_0060562	epithelial tube morphogenesis	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
11562	GO_0003232	bulbus arteriosus development	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6915	GO_0000964	mitochondrial RNA 5'-end processing	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6920	CHEBI_15978	sn-glycerol 3-phosphate	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
350	CHEBI_79722	Bisphenol A ethoxylate diacrylate	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7531	CHEBI_5557	guanethidine	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6927	PR_000016197	transcobalamin-2	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6930	CHEBI_24680	hydroxybiphenyl	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6931	CHEBI_52743	bromine-79 atom	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6932	UBERON_0010091	future hindbrain meninx	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6935	CHEBI_10115	zingiberene	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9108	CHEBI_83526	4-formylaminoantipyrine	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6938	UBERON_0002148	locus ceruleus	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6941	GO_0006112	energy reserve metabolic process	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
345	GO_0001402	signal transduction involved in filamentous growth	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6945	GO_0007508	larval heart development	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6916	GO_0033275	actin-myosin filament sliding	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6828	CHEBI_10417	beta-eudesmol	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
358	GO_0006552	leucine catabolic process	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9315	CHEBI_37988	micronomicin	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7549	CHEBI_38988	boranediyl group	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9098	GO_0007162	negative regulation of cell adhesion	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6833	CHEBI_52302	Cy2 dye	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9330	GO_0048653	anther development	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9329	UBERON_0000428	prostate epithelium	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
370	GO_0097118	neuroligin clustering involved in postsynaptic membrane assembly	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
11560	UBERON_0003882	CA2 field of hippocampus	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6840	CHEBI_82934	beta-D-glucosyl-(1<->1')-N-acyl-(4E,8E)-9-methylsphinga-4,8-dienine-	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
367	PR_000001454	frizzled-4	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6845	GO_0035732	nitric oxide storage	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6847	PR_000029449	extended synaptotagmin-3	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9099	GO_0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
365	CHEBI_36631	acyclic carboxylic anhydride	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9313	GO_0001909	leukocyte mediated cytotoxicity	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6855	CHEBI_5420	Glucosylated DNA	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6857	GO_0034389	lipid droplet organization	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
361	CHEBI_80697	Sulfuric monoester	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9321	GO_0051947	regulation of gamma-aminobutyric acid uptake involved in transmission of nerve impulse	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7544	GO_0072649	interferon-kappa production	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
360	GO_1904200	iodide transmembrane transport	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6866	PR_000015616	SLIT-ROBO Rho GTPase-activating protein 2	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6868	SO_0000445	five_prime_noncoding_exon	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9319	CHEBI_51539	halooxometallate anion	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7542	CHEBI_79182	18-hydroxyoctadecanoic acid	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6872	CHEBI_70325	6-epi-clusianone, (rel)-	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9318	CHEBI_28794	coumarin	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6878	CHEBI_68604	betamethasone phosphate(2-)	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9103	PR_000001402	killer cell lectin-like receptor subfamily D member 1	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6856	GO_0043101	purine-containing compound salvage	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7567	GO_0019700	organic phosphonate catabolic process	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6711	CHEBI_33704	alpha-amino acid	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6710	CHEBI_34539	Ar4Cer	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9432	GO_0007116	regulation of cell budding	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
420	GO_0002315	marginal zone B cell differentiation	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9084	PR_000010703	metallothionein-1X	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6558	GO_0035180	larval wandering behavior	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7596	GO_0071707	immunoglobulin heavy chain V-D-J recombination	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
419	GO_0010098	suspensor development	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9086	CHEBI_22970	butynediol	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6562	GO_0048786	presynaptic active zone	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
417	GO_0001766	membrane raft polarization	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6564	CHEBI_18218	2'-hydroxybiphenyl-2-sulfinate	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
416	GO_0036184	asperthecin biosynthetic process	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9421	CHEBI_86378	(25R)-3beta-hydroxycholest-5-en-26-oic acid	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
415	GO_0043525	positive regulation of neuron apoptotic process	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6547	GO_0033263	CORVET complex	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9420	UBERON_0003544	brain white matter	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6573	CHEBI_35237	cysteine zwitterion	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6574	PR_000014525	sodium channel subunit beta-4	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9416	PR_000029640	mitotic-spindle organizing protein 2B	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
414	GO_0035074	pupation	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6581	GO_0032636	interleukin-7 production	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6582	GO_0045107	intermediate filament polymerization	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6583	GO_0019677	NAD catabolic process	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6584	UBERON_2005080	anterior mesenteric artery	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6585	CHEBI_72568	MTIC	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6586	CL_0000958	T1 B cell	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6587	CHEBI_2659	aminophylline	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6589	PR_000044781	putative pregnancy-specific beta-1-glycoprotein 7	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9414	PR_000012253	PAN2-PAN3 deadenylation complex catalytic subunit PAN2	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9419	GO_0007195	adenylate cyclase-inhibiting dopamine receptor signaling pathway	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7594	CL_0000638	acidophil cell of pars distalis of adenohypophysis	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9433	GO_0001558	regulation of cell growth	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6543	CHEBI_26775	stilbene	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6485	GO_0032201	telomere maintenance via semi-conservative replication	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7606	CHEBI_27434	o-tolualdehyde	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6489	CHEBI_52825	DY-676(1-)	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7604	UBERON_0014777	spinal neuromere	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
430	CHEBI_46633	carbapenems	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6500	CHEBI_15761	N-methylpyridinium	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9457	CHEBI_50892	iodohydrocarbon	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6503	PR_000006878	enoyl-CoA hydratase, mitochondrial	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
11538	UBERON_0008266	periodontal ligament	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6505	GO_0099524	postsynaptic cytosol	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6507	PR_000008449	hyaluronan synthase 1	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6508	CHEBI_17696	isocyanuric acid	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9453	GO_0099506	synaptic vesicle transport along actin filament	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6544	PR_000008881	induced by contact to basement membrane 1 protein	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6512	CL_0000597	microconidium	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
426	UBERON_0002313	hippocampus pyramidal layer	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
425	SO_0000831	gene_member_region	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7602	CHEBI_5010	fenoprofen calcium (anhydrous)	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7601	CHEBI_53599	poly(2,9-carbazole) macromolecule	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9445	CHEBI_33462	phosphonate(1-)	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
424	GO_0035511	oxidative DNA demethylation	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6529	CHEBI_84070	sodium arsenate	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7600	UBERON_0014537	periamygdaloid cortex	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7599	CHEBI_59790	difenoxin hydrochloride	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
11544	GO_0032263	GMP salvage	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9438	GO_0042731	PH domain binding	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6541	PR_000005402	chromatin assembly factor 1 subunit A	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9436	CHEBI_26174	poly(N-acetyllactosamine)	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6513	UBERON_0002244	premaxilla	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6595	GO_0009449	gamma-aminobutyric acid biosynthetic process	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9411	CHEBI_2372	acalyphin	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7592	CHEBI_73703	Val-Tyr	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6657	GO_0046814	coreceptor-mediated virion attachment to host cell	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6658	CHEBI_53289	donepezil	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6660	PR_000016811	tubulin alpha-3E chain	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6661	GO_0001712	ectodermal cell fate commitment	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
403	CHEBI_65640	clathsterol	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9386	GO_0006225	UDP biosynthetic process	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9384	GO_0005731	nucleolus organizer region	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6668	CHEBI_29150	orthoperiodic acid	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6669	GO_0070376	regulation of ERK5 cascade	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7579	CHEBI_2944	Azafrin	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
219	CHEBI_51248	Alexa Fluor 594	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
220	GO_0030688	preribosome, small subunit precursor	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6681	UBERON_0000911	chyle	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6656	PR_000001717	trace amine-associated receptor 8	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9379	UBERON_0013755	arterial blood	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9089	PR_000013943	retrograde Golgi transport protein RGP1	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
399	SO_0000194	LINE_element	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9090	CHEBI_36587	organic oxo compound	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6691	SO_0000096	proplastid_gene	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
398	CHEBI_9584	desiccated thyroid extract	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6695	PR_000006689	developmentally-regulated GTP-binding protein 2	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
11545	GO_0034359	mature chylomicron	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
9092	GO_0019090	mitochondrial rRNA export from mitochondrion	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7572	PR_000015766	stomatin-like protein 3	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
7571	GO_0032721	negative regulation of lymphotoxin A production	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6705	PR_000006960	eukaryotic translation initiation factor 2-alpha kinase 3	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6706	UBERON_0011380	female external urethral sphincter	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
6709	GO_0035070	salivary gland histolysis	0.6532929745052678	51868	1	33885	1	1.0	False	1.0	False
