	OBO_ID	OBO_LABEL	ENRICHMENT_P_VALUE	TOTAL_POPULATION	TOTAL_SUCCESSES	TOTAL_VITAMIN_D	TOTAL_SUCCESSES_IN_VITAMIN_D	BONFERRONI_CRRECTION_P_VALUE	BONFERRONI_CRRECTION_P_VALUE_REJECT	BH_CRRECTION_P_VALUE	BH_CRRECTION_P_VALUE_REJECT
10038	CHEBI_84177	14-HPDHE	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
292	UBERON_0006518	right lung lobe	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
14543	PR_000008467	hemoglobin subunit zeta	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
2174	GO_0051017	actin filament bundle assembly	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
8405	CHEBI_38845	profenofos	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
1236	UBERON_0003487	skin sebaceous gland	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
13558	CHEBI_77914	3-methylbut-1-ene	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
14310	UBERON_0006376	premacula segment of distal straight tubule	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
14398	GO_0042358	thiamine diphosphate catabolic process	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
5807	GO_0035210	prepupal development	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
13911	CHEBI_77734	dexverapamil	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
4314	UBERON_0002649	dorsolateral fasciculus of medulla	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
16940	CL_0002368	respiratory epithelial cell	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
11615	UBERON_0022230	retrohippocampal region	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
1495	GO_0044809	chemokine (C-C motif) ligand 17 production	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
152	CHEBI_33739	di-mu-sulfido-diiron(0)	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
10492	UBERON_2002051	scale circulus	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
48	CHEBI_26661	shidasterone	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
599	GO_0043523	regulation of neuron apoptotic process	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
15998	CHEBI_22198	acetylcysteine	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
15487	CHEBI_23447	cyclic nucleotide	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
9587	CHEBI_83334	12-HPE(8,10,14)TrE(1-)	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
2455	GO_0019286	glycine betaine biosynthetic process from glycine	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
1154	CHEBI_85139	beta-amino acid ester	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
11530	CHEBI_35047	xanthomicrol	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
396	CHEBI_16094	thiosulfate(2-)	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
13779	UBERON_0006114	lateral occipital cortex	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
4922	CHEBI_36864	25-hydroxy steroid	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
14689	CHEBI_82627	15(R)-HPETE	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
9427	CHEBI_50024	o-aminophenylarsonous acid	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
6816	GO_0006562	proline catabolic process	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
5700	GO_0002544	chronic inflammatory response	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
14047	CL_0002184	basal proper cell of olfactory epithelium	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
15863	UBERON_0001944	pretectal region	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
12981	CHEBI_31005	manninotriose	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
2239	GO_0006314	intron homing	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
5254	GO_0002270	plasmacytoid dendritic cell activation	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
6673	PR_000015800	syntaxin-8	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
6765	CHEBI_19480	2-bromomaleylacetate	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
2728	CHEBI_76351	benzyl trimethylsilyl ether	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
15274	UBERON_0001229	renal corpuscle	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
6820	PR_000009208	protein Jumonji	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
7346	CHEBI_16695	uridine 5'-monophosphate	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
8675	PR_000014377	ryanodine receptor 1	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
7868	CHEBI_6923	miconazole	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
14810	GO_0042466	chemokinesis	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
17358	CHEBI_84175	2-methylhexadecanoate	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
11935	GO_1901646	negative regulation of synoviocyte proliferation	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
2696	GO_0043265	ectoplasm	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
13344	CHEBI_74351	aclacinomycin T	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
1865	GO_0001780	neutrophil homeostasis	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
3817	GO_0007598	blood coagulation, extrinsic pathway	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
11353	CHEBI_18131	licodione	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
16903	CHEBI_66526	strongylin A	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
9887	UBERON_0005297	testis sex cord	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
12399	UBERON_0000478	extraembryonic structure	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
656	GO_0038008	TRAF-mediated signal transduction	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
15484	UBERON_0002416	integumental system	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
52	CHEBI_86320	1alpha,25-dihydroxyvitamin D2	0.09599268212130008	327724	3	10841	1	1.0	False	1.0	False
16966	CL_0000918	Tc2 cell	0.09666168247939201	327724	16	10841	2	1.0	False	1.0	False
11152	CHEBI_38677	famphur	0.09666168247939201	327724	16	10841	2	1.0	False	1.0	False
14289	GO_0002521	leukocyte differentiation	0.09666168247939201	327724	16	10841	2	1.0	False	1.0	False
12150	GO_0002901	mature B cell apoptotic process	0.09666168247939201	327724	16	10841	2	1.0	False	1.0	False
2291	CL_0002295	type-6 epithelial cell of thymus	0.09666168247939201	327724	16	10841	2	1.0	False	1.0	False
11582	UBERON_0002211	nerve root	0.09666168247939201	327724	16	10841	2	1.0	False	1.0	False
1789	UBERON_0002495	long bone	0.09666168247939201	327724	16	10841	2	1.0	False	1.0	False
8972	GO_0031318	detection of folic acid	0.09666168247939201	327724	16	10841	2	1.0	False	1.0	False
12861	GO_0009653	anatomical structure morphogenesis	0.09730579982681711	327724	118	10841	7	1.0	False	1.0	False
5640	GO_0007129	homologous chromosome pairing at meiosis	0.0991146473808508	327724	866	10841	36	1.0	False	1.0	False
2004	GO_0002065	columnar/cuboidal epithelial cell differentiation	0.10012784917352305	327724	142	10841	8	1.0	False	1.0	False
12147	CHEBI_16136	hydrogen sulfide	0.10152685955172872	327724	34	10841	3	1.0	False	1.0	False
9577	GO_0044308	axonal spine	0.1028696760303213	327724	75	10841	5	1.0	False	1.0	False
11710	PR_000008988	interleukin-1 family member 5	0.10672554650209841	327724	98	10841	6	1.0	False	1.0	False
4797	CHEBI_9561	thiopental sodium	0.10723226318169427	327724	17	10841	2	1.0	False	1.0	False
6832	CHEBI_28748	doxorubicin	0.10723226318169427	327724	17	10841	2	1.0	False	1.0	False
12084	UBERON_2001304	vagal ganglion 3	0.10723226318169427	327724	17	10841	2	1.0	False	1.0	False
2466	UBERON_0002509	mesenteric lymph node	0.10723226318169427	327724	17	10841	2	1.0	False	1.0	False
2754	CHEBI_25048	linolenic acid	0.10723226318169427	327724	17	10841	2	1.0	False	1.0	False
14414	UBERON_0006074	lumbar region of vertebral column	0.1072879461108916	327724	76	10841	5	1.0	False	1.0	False
14672	PR_000013439	prostate tumor-overexpressed gene 1 protein	0.10855719398558097	327724	55	10841	4	1.0	False	1.0	False
250	GO_0009566	fertilization	0.1109740797872915	327724	370	10841	17	1.0	False	1.0	False
11390	GO_0032991	protein-containing complex	0.11097470865585285	327724	243	10841	12	1.0	False	1.0	False
6567	GO_0060819	inactivation of X chromosome by genetic imprinting	0.11179743657301966	327724	77	10841	5	1.0	False	1.0	False
4792	PR_000005170	CD37 molecule	0.11472376753789208	327724	195	10841	10	1.0	False	1.0	False
9598	CHEBI_51247	texas red	0.1155445038143448	327724	36	10841	3	1.0	False	1.0	False
4928	CHEBI_10124	zolmitriptan	0.1155445038143448	327724	36	10841	3	1.0	False	1.0	False
15194	GO_0035556	intracellular signal transduction	0.11809202883014489	327724	18	10841	2	1.0	False	1.0	False
11206	GO_0036155	acylglycerol acyl-chain remodeling	0.11809202883014489	327724	18	10841	2	1.0	False	1.0	False
17528	UBERON_0000115	lung epithelium	0.11809202883014489	327724	18	10841	2	1.0	False	1.0	False
7960	UBERON_0000056	ureter	0.11809202883014489	327724	18	10841	2	1.0	False	1.0	False
2574	UBERON_0004237	blood vessel smooth muscle	0.11809202883014489	327724	18	10841	2	1.0	False	1.0	False
13107	PR_000009209	juxtaposed with another zinc finger protein 1	0.11809202883014489	327724	18	10841	2	1.0	False	1.0	False
9358	GO_0001890	placenta development	0.11910829515414352	327724	148	10841	8	1.0	False	1.0	False
3343	CHEBI_3647	chlorpromazine	0.11960134829644545	327724	57	10841	4	1.0	False	1.0	False
4141	CL_0000111	peripheral neuron	0.11960134829644545	327724	57	10841	4	1.0	False	1.0	False
6096	NCBITaxon_39107	Murinae	0.12088813082015762	327724	247	10841	12	1.0	False	1.0	False
7048	CHEBI_36933	oxygen-19 atom	0.12108426572867384	327724	79	10841	5	1.0	False	1.0	False
12716	CHEBI_30413	heme	0.12368430088271513	327724	223	10841	11	1.0	False	1.0	False
17146	CL_0000092	osteoclast	0.12529780937562868	327724	58	10841	4	1.0	False	1.0	False
12082	GO_0007602	phototransduction	0.12536791135955275	327724	126	10841	7	1.0	False	1.0	False
12738	CHEBI_13392	NAD(P)H	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
5716	GO_0042494	detection of bacterial lipoprotein	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
7063	PR_000017409	protein WFDC13	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
14809	CHEBI_26543	rhamnogalacturonan	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
6472	UBERON_0034705	developing neuroepithelium	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
13114	UBERON_0002365	exocrine gland	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
12703	CHEBI_83630	essential oil	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
6216	CHEBI_28623	campesterol	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
2414	CHEBI_29073	L-ascorbic acid	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
16906	GO_0040010	positive regulation of growth rate	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
10702	UBERON_0010305	subdivision of conjunctiva	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
4759	CHEBI_86267	nitrotyrosine	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
1775	UBERON_0013558	Brodmann (1909) area 27	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
1476	CL_0000745	retina horizontal cell	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
5119	PR_000013999	rapamycin-insensitive companion of mTOR	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
16820	GO_0006523	alanine biosynthetic process	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
7220	GO_0042711	maternal behavior	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
11982	CL_0002425	early T lineage precursor	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
10257	CL_0000024	oogonial cell	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
157	GO_0045168	cell-cell signaling involved in cell fate commitment	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
8445	GO_0007622	rhythmic behavior	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
1214	GO_0003204	cardiac skeleton development	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
16790	CHEBI_72701	2-oxopimelate(2-)	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
8758	GO_0016063	rhodopsin biosynthetic process	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
16109	CL_0000006	neuronal receptor cell	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
16616	GO_0033576	protein glycosylation in cytosol	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
11195	PR_000013393	proteasome activator complex subunit 2	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
3460	CHEBI_17310	pyridoxal	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
3639	CHEBI_16573	carbonyl sulfide	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
169	CHEBI_34939	prostaglandin D3	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
2013	GO_0001866	NK T cell proliferation	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
6671	GO_0031929	TOR signaling	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
1892	CHEBI_28921	7-methyladenine	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
3721	GO_0006188	IMP biosynthetic process	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
15862	CHEBI_67449	ananolignan L	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
12503	GO_0042188	1,1,1-trichloro-2,2-bis-(4-chlorophenyl)ethane catabolic process	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
3270	CHEBI_34674	dextran sulfate	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
9268	PR_000014909	S-phase kinase-associated protein 2	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
15232	GO_0042067	establishment of ommatidial planar polarity	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
14119	GO_0009953	dorsal/ventral pattern formation	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
11407	GO_0001703	gastrulation with mouth forming first	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
16908	CHEBI_63310	mycinamicin IV(1+)	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
11360	CHEBI_4495	diazoxide	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
10230	CHEBI_77726	1-decanoyl-sn-glycero-3-phosphocholine	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
17486	CHEBI_75970	2'-phospho-cyclic ADP-ribose(3-)	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
2276	CHEBI_16380	vindoline	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
12015	PR_000005409	chromodomain-helicase-DNA-binding protein 3	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
4116	UBERON_0002150	superior cerebellar peduncle	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
11429	CHEBI_75192	thallium(I) acetate	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
5832	GO_0001715	ectodermal cell fate specification	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
5942	CHEBI_63629	tizanidine	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
4575	GO_0072653	interferon-omega production	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
8090	GO_0048633	positive regulation of skeletal muscle tissue growth	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
17399	CHEBI_7036	Musennin	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
10760	PR_000016580	tropomyosin beta chain	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
12069	CHEBI_23123	chloroacetate	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
2341	CHEBI_86324	quinolone antibiotic	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
13124	UBERON_0002097	skin of body	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
13566	CHEBI_75902	hispidulin	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
14669	GO_0001833	inner cell mass cell proliferation	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
1060	PR_000006270	triokinase/FMN cyclase	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
9357	CHEBI_76706	EC 6.1.* (C-O bond-forming ligase) inhibitor	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
3172	CHEBI_38959	diphenyl sulfide	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
13858	GO_0070509	calcium ion import	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
3159	GO_0051168	nuclear export	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
13162	GO_0006307	DNA dealkylation involved in DNA repair	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
17260	CHEBI_83462	metolachlor OXA	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
4006	GO_0002326	B cell lineage commitment	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
11292	SO_0001035	piRNA	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
421	CL_0000429	imaginal disc cell	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
5539	GO_0042113	B cell activation	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
12103	PR_000016775	thiosulfate sulfurtransferase	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
437	GO_0042101	T cell receptor complex	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
81	PR_000007129	ephrin type-B receptor 1	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
4747	UBERON_0002401	visceral pleura	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
3415	GO_0043102	amino acid salvage	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
11573	PR_000009801	DNA ligase 3	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
3589	CHEBI_63625	tenofovir (anhydrous)	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
6449	UBERON_0002437	cerebral hemisphere white matter	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
5614	PR_000009486	keratin, type II cytoskeletal 71	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
2920	UBERON_0001076	neural spine	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
4176	GO_0034209	sterol acetylation	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
15719	UBERON_0016512	lumen of duodenum	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
3125	GO_0036165	invasive growth in response to heat	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
14185	PR_000002190	RAC-alpha serine/threonine-protein kinase	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
17276	GO_0002028	regulation of sodium ion transport	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
10050	CHEBI_76917	methyl 2-methylpropyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate	0.12589721483580793	327724	4	10841	1	1.0	False	1.0	False
9765	CHEBI_16480	nitric oxide	0.12602701144862644	327724	249	10841	12	1.0	False	1.0	False
17443	CL_0000969	regulatory B cell	0.129210284306393	327724	19	10841	2	1.0	False	1.0	False
5540	GO_0043204	perikaryon	0.129210284306393	327724	19	10841	2	1.0	False	1.0	False
14857	GO_0001503	ossification	0.1292659112569294	327724	151	10841	8	1.0	False	1.0	False
4641	UBERON_0001758	periodontium	0.13023784248871254	327724	38	10841	3	1.0	False	1.0	False
8940	GO_0071743	IgE immunoglobulin complex, circulating	0.13072616835417333	327724	1223	10841	48	1.0	False	1.0	False
5579	CHEBI_18421	superoxide	0.1356605592554343	327724	82	10841	5	1.0	False	1.0	False
13657	GO_0043181	vacuolar sequestering	0.13781841396388764	327724	39	10841	3	1.0	False	1.0	False
13365	GO_0038001	paracrine signaling	0.13781841396388764	327724	39	10841	3	1.0	False	1.0	False
13707	UBERON_0002544	digit	0.13781841396388764	327724	39	10841	3	1.0	False	1.0	False
7990	UBERON_0002107	liver	0.13926831618186103	327724	3595	10841	131	1.0	False	1.0	False
17166	CHEBI_7025	mupirocin	0.13984552024880034	327724	106	10841	6	1.0	False	1.0	False
1694	UBERON_0000052	fornix of brain	0.1405580490427121	327724	20	10841	2	1.0	False	1.0	False
3327	GO_0009856	pollination	0.1405580490427121	327724	20	10841	2	1.0	False	1.0	False
9562	UBERON_0014930	perivascular space	0.1405580490427121	327724	20	10841	2	1.0	False	1.0	False
12035	GO_0048469	cell maturation	0.1405580490427121	327724	20	10841	2	1.0	False	1.0	False
17318	UBERON_0001009	circulatory system	0.1405580490427121	327724	20	10841	2	1.0	False	1.0	False
11881	PR_000015393	suppressor of cytokine signaling 2	0.1405580490427121	327724	20	10841	2	1.0	False	1.0	False
5770	CHEBI_25512	neurotransmitter	0.14441115911677468	327724	205	10841	10	1.0	False	1.0	False
12642	UBERON_0001509	triceps brachii	0.1445027092040465	327724	180	10841	9	1.0	False	1.0	False
9632	GO_0042461	photoreceptor cell development	0.14554447033306522	327724	40	10841	3	1.0	False	1.0	False
3087	GO_0036356	cyclic 2,3-diphosphoglycerate synthetase activity	0.15210797629787795	327724	21	10841	2	1.0	False	1.0	False
12915	GO_0046631	alpha-beta T cell activation	0.15210797629787795	327724	21	10841	2	1.0	False	1.0	False
10982	PR_000013819	retinol-binding protein 2	0.15210797629787795	327724	21	10841	2	1.0	False	1.0	False
15905	CL_0000898	naive T cell	0.15210797629787795	327724	21	10841	2	1.0	False	1.0	False
5459	UBERON_0001465	knee	0.15340817617150776	327724	41	10841	3	1.0	False	1.0	False
7338	GO_0046660	female sex differentiation	0.15362296103306364	327724	470	10841	20	1.0	False	1.0	False
10394	SO_0000096	proplastid_gene	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
9588	CHEBI_73173	2,4-DB	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
8594	CHEBI_86319	25-hydroxyvitamin D2	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
10608	GO_0099536	synaptic signaling	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
5083	UBERON_2000084	yolk	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
11780	CHEBI_50545	trans-isoeugenol	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
4136	CHEBI_26848	tannin	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
12891	GO_0001896	autolysis	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
13307	PR_000006139	cytochrome P450 4F12	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
11055	CHEBI_52744	fort orange 600	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
10274	GO_0019539	hydroxymate-containing siderophore biosynthetic process	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
13928	GO_0002510	central B cell tolerance induction	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
5415	CHEBI_29865	benzo[a]pyrene	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
1724	CL_0002325	mammary alveolar cell	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
9940	CHEBI_6723	megestrol acetate	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
8470	GO_0010906	regulation of glucose metabolic process	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
2299	CHEBI_87140	3-oxochola-4,22-dien-24-oyl-CoA	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
9785	UBERON_4200215	suture	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
15105	CHEBI_77855	3-chlorolactic acid	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
9401	CHEBI_66439	sciscllascilloside E-1	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
2757	CHEBI_35448	1,2-phenylene group	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
17288	CHEBI_28592	ricinoleic acid	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
723	CHEBI_9328	sulfadiazine	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
447	GO_0019065	receptor-mediated endocytosis of virus by host cell	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
10678	UBERON_0000429	enteric plexus	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
16495	GO_0033153	T cell receptor V(D)J recombination	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
10570	UBERON_0001485	knee joint	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
12213	3	A2MP1	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
2419	UBERON_0000353	parenchyma	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
16455	GO_0050998	nitric-oxide synthase binding	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
14911	CHEBI_17976	ubiquinol	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
16829	PR_000010977	nucleosome assembly protein 1-like 3	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
279	GO_0035745	T-helper 2 cell cytokine production	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
7131	GO_0070273	phosphatidylinositol-4-phosphate binding	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
5164	UBERON_0004721	crista ampullaris	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
14914	PR_000008320	general transcription factor IIH subunit 4	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
4186	PR_000011594	inositol polyphosphate 5-phosphatase OCRL	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
6700	CHEBI_48438	pyrimidinecarboxamide	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
3222	GO_0060126	somatotropin secreting cell differentiation	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
2541	UBERON_0001297	serosa of uterus	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
9006	PR_000008446	hyaluronan and proteoglycan link protein 3	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
14032	CHEBI_52927	To-Pro-1(2+)	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
8499	UBERON_0002967	cingulate gyrus	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
9752	UBERON_0001792	ganglionic layer of retina	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
4344	PR_000005190	cell division cycle protein 23	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
6793	CHEBI_73754	thiosugar	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
1013	CHEBI_22485	glucosamine oligosaccharide	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
7636	GO_0038092	nodal signaling pathway	0.15481259473728712	327724	5	10841	1	1.0	False	1.0	False
